total,amt1,amt2
0.01,0.01,0
0.01,0.01,0
0.01,0.01,0
0.01,0.01,0
0.01,0.01,0
0.43,0.43,0
0.92,0.92,0
0.92,0.92,0
1.13,1.13,0
1.24,1.24,0
1.35,1.35,0
1.43,0.77,0.66
1.51,1.51,0
1.88,1.88,0
2,1.75,0.25
2,2,0
2,2,0
2.41,2.41,0
2.73,2.73,0
2.76,2.76,0
2.87,2.87,0
2.89,2.89,0
2.98,2.98,0
3.06,3.06,0
3.22,3.22,0
3.27,3.27,0
3.3,3.3,0
3.35,3.35,0
3.47,3.47,0
3.84,3.84,0
3.88,1.28,2.6
3.93,3.93,0
4,4,0
4.12,4.12,0
4.12,4.12,0
4.19,4.19,0
4.4,2.8,1.6
4.48,4.48,0
4.63,4.63,0
4.64,4.64,0
4.81,4.81,0
4.84,4.84,0
4.89,3.27,1.62
4.9,4.9,0
5.05,5.05,0
5.24,5.24,0
5.29,5.29,0
5.99,5.99,0
6,6,0
6,6,0
6.39,6.39,0
6.4,6.4,0
6.43,6.43,0
6.5,6.5,0
6.78,5.77,1.01
6.93,6.93,0
7,7,0
7,7,0
7,7,0
7.28,7.23,0.05
7.42,7.42,0
7.5,7.5,0
7.58,7.58,0
7.6,7.6,0
7.6,7.6,0
7.62,5.12,2.5
7.68,7.68,0
8,5.08,2.92
8,8,0
8.06,8.06,0
8.16,8.16,0
8.2,8.2,0
8.28,6.28,2
8.41,5.43,2.98
8.44,8.44,0
8.62,8.62,0
8.85,8.85,0
8.86,8.86,0
9.01,9.01,0
9.04,9.04,0
9.05,9.05,0
9.09,9.09,0
9.26,6.66,2.6
9.34,9.34,0
9.4,9.4,0
9.4,9.4,0
9.4,9.4,0
9.47,4.68,4.79
9.5,9.5,0
9.55,9.55,0
9.56,9.56,0
9.67,9.67,0
9.69,9.69,0
9.72,9.72,0
10,9.74,0.26
10.03,10.03,0
10.09,10.09,0
10.1,10.1,0
10.13,10.13,0
10.27,10.27,0
10.28,3,7.28
10.37,10.37,0
10.38,10.04,0.34
10.39,10.39,0
10.41,10.41,0
10.45,10.45,0
10.5,10.5,0
10.5,10.5,0
10.53,10.53,0
10.83,10.83,0
10.92,1.57,9.35
11.07,11.07,0
11.1,11.1,0
